"COU ; Reporting country ; FLW ; Flow ; PAR ; Partner country ; CAT ; End-use ; IND ; Industry ; VAL ; Variable ; TIME ; Time ; Unit Code ; Unit ; PowerCode Code ; PowerCode ; Reference Period Code ; Reference Period ; Value ; Flag Codes ; Flags"
"USA ; United States ; EXPO ; Exports ; MDG ; Madagascar ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 56843.373 ;  ; "
"USA ; United States ; EXPO ; Exports ; MLI ; Mali ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 96658.591 ;  ; "
"USA ; United States ; EXPO ; Exports ; MRT ; Mauritania ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 138392.261 ;  ; "
"USA ; United States ; EXPO ; Exports ; MUS ; Mauritius ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 78458.007 ;  ; "
"USA ; United States ; EXPO ; Exports ; MAR ; Morocco ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 2759884.646 ;  ; "
"USA ; United States ; EXPO ; Exports ; MOZ ; Mozambique ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 189879.493 ;  ; "
"USA ; United States ; EXPO ; Exports ; ARG ; Argentina ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 7739467.345 ;  ; "
"USA ; United States ; EXPO ; Exports ; ABW ; Aruba ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 537091.298 ;  ; "
"USA ; United States ; EXPO ; Exports ; BOL ; Bolivia ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 527818.594 ;  ; "
"USA ; United States ; EXPO ; Exports ; COL ; Colombia ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 16451440.891 ;  ; "
