Column1;exporter;importer;secgroup;product;v2020;v2018;v2019
2096328;CHN;CHL;CAT;TT;17692.5010795563;18034.1171909202;16674.960348887
2096712;CHN;CHN;CAT;TT;0.0;0.0;0.0
2097096;CHN;CIV;CAT;TT;2657.14231434522;2093.69731966452;2219.14497145986
2097480;CHN;CMR;CAT;TT;2259.86845078269;1904.16899169196;1915.92596393019
2097864;CHN;COL;CAT;TT;10747.3924882135;10641.6074503347;11075.4989085073
2098248;CHN;CSK;CAT;TT;34052.4424098412;29422.7229198193;31805.2623705928
2098632;CHN;CYP;CAT;TT;933.022820539462;778.35384835124;635.830666451613
2099016;CHN;CZE;CAT;TT;28402.4834615957;23904.5881997187;26016.5710214512
2099400;CHN;DEU;CAT;TT;118608.651000821;111380.359585963;109123.032183918
2099784;CHN;DEV;CAT;TT;1306055.80499865;1386642.5545305;1309785.25091261
2100168;CHN;DNK;CAT;TT;6410.71680546936;6074.77456041238;5968.77240570801
2100552;CHN;DZA;CAT;TT;7389.38632753332;9650.21566479633;8657.6770997623
2100936;CHN;E15;CAT;TT;376865.691084829;364139.835014138;366848.259467846
2101320;CHN;E28;CAT;TT;476732.392056706;452644.120977951;456847.131418308
2101704;CHN;ECU;CAT;TT;3976.68366126489;4381.59014399706;4105.14111199988
2102088;CHN;EGY;CAT;TT;15057.702432355;13832.3462449279;14108.612083567
2102472;CHN;EM1;CAT;TT;528125.480912019;496345.485743478;518523.990999842
2102856;CHN;ENM;CAT;TT;108953.101829475;96966.8370114199;98834.0568163944
2103240;CHN;ESP;CAT;TT;29033.4770719844;27379.2672327283;28149.8951757168
2103624;CHN;EST;CAT;TT;1678.95131949443;1776.27813897566;1602.04918648299
2104008;CHN;EUA;CAT;TT;114160.53976045;97819.65020585;97965.2514643031
2104392;CHN;EUC;CAT;TT;624350.69049785;593895.47471961;603135.788951067
2104776;CHN;EUR;CAT;TT;314240.057733303;313401.831684224;312240.442661025
