,exporter,importer,secgroup,product,v2020
73800,AFA,EGY,CAT,TT,54.677167719471
74184,AFA,EM1,CAT,TT,2419.23643834898
74568,AFA,ENM,CAT,TT,171.044838131524
74952,AFA,ESP,CAT,TT,511.575572933356
75336,AFA,EST,CAT,TT,13.6989519433819
75720,AFA,EUA,CAT,TT,3493.61064676948
76104,AFA,EUC,CAT,TT,7412.83229005423
76488,AFA,EUR,CAT,TT,3485.68918771694
76872,AFA,FIN,CAT,TT,15.1743665755889
77256,AFA,FRA,CAT,TT,614.739689478116
77640,AFA,G20,CAT,TT,13819.8200082866
78024,AFA,G8,CAT,TT,3092.22689165331
78408,AFA,GAB,CAT,TT,25.6375720328896
78792,AFA,GBR,CAT,TT,400.096833047863
79176,AFA,GLF,CAT,TT,4344.36450673705
79560,AFA,GOA,CAT,TT,4335.09493340603
79944,AFA,GRC,CAT,TT,202.662935725185
80328,AFA,HKG,CAT,TT,101.094238711831
80712,AFA,HRV,CAT,TT,1.92445746615996
81096,AFA,HUN,CAT,TT,6.78304547883645
81480,AFA,IDN,CAT,TT,87.6765979243187
81864,AFA,IND,CAT,TT,1361.48253606561
82248,AFA,IRL,CAT,TT,11.8792587080021
82632,AFA,ISL,CAT,TT,1.85606083183904
83016,AFA,ISR,CAT,TT,17.6185176420465
83400,AFA,ITA,CAT,TT,554.110870795898
83784,AFA,JPN,CAT,TT,217.939291147538
84168,AFA,KAZ,CAT,TT,20.9089448918852
84552,AFA,KEN,CAT,TT,88.3494495997227
84936,AFA,KGZ,CAT,TT,0.0024727013575757
85320,AFA,KOR,CAT,TT,59.2710866621317
85704,AFA,LBY,CAT,TT,0.0468876168957554
86088,AFA,LKA,CAT,TT,2.05487887215369
86472,AFA,LTU,CAT,TT,0.499299760414422
86856,AFA,LUX,CAT,TT,3.52494941511856
87240,AFA,LVA,CAT,TT,1.22728483556196
87624,AFA,MAR,CAT,TT,6.16712279735214
88008,AFA,MED,CAT,TT,2305.25012697177
88392,AFA,MENA,CAT,TT,4450.78003324504
88776,AFA,MERC,CAT,TT,72.8819660424232
89160,AFA,MEX,CAT,TT,6.4267371432522
89544,AFA,MKD,CAT,TT,2.16692000364163
89928,AFA,MLT,CAT,TT,4.78794523527
90312,AFA,MOA,CAT,TT,6.32274029530466
90696,AFA,MYS,CAT,TT,234.651063143837
91080,AFA,NGA,CAT,TT,63.5408509038543
91464,AFA,NLD,CAT,TT,898.946211888848
91848,AFA,NOR,CAT,TT,8.08262286651387
92232,AFA,NRD,CAT,TT,53.0528251075669
92616,AFA,NZL,CAT,TT,14.0918154976205
93000,AFA,OCN,CAT,TT,234.882639590564
93384,AFA,OECD,CAT,TT,8811.80372803255
93768,AFA,OPEC,CAT,TT,4440.0770845296
94152,AFA,PAK,CAT,TT,14.5328753499801
94536,AFA,PED,CAT,TT,14871.8288111605
94920,AFA,PER,CAT,TT,107.457567886602
95304,AFA,PHL,CAT,TT,15.1849610232547
95688,AFA,PMA,CAT,TT,1596.73502019103
96072,AFA,PMO,CAT,TT,4368.3057646744
96456,AFA,POL,CAT,TT,76.996368850814
96840,AFA,PRT,CAT,TT,64.9135532847209
97224,AFA,PRY,CAT,TT,0.159844
97608,AFA,RCEP,CAT,TT,7448.83764141822
97992,AFA,ROM,CAT,TT,7.89833832080487
98376,AFA,RUS,CAT,TT,107.015256641066
98760,AFA,SAF,CAT,TT,834.847872587515
99144,AFA,SAU,CAT,TT,9.26957333101504
99528,AFA,SEM,CAT,TT,8.17069500594604
99912,AFA,SGP,CAT,TT,196.273189826395
100296,AFA,SUN,CAT,TT,302.591192149371
100680,AFA,SVK,CAT,TT,3.024968953271
